host, subject, issuer, notBefore, notAfter, basicConstraints, sha1Fingerprint
"Sbc-st-a.vtb.ru","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","Apr 21 00:00:00 2021 GMT","Apr 21 00:00:00 2031 GMT","CA:TRUE, pathlen:0 critical","18:FA:8E:3C:CD:E2:6E:0C:3F:04:AD:DA:95:F2:68:93:32:62:37:54"
"Sbc-st-a.vtb.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Feb 20 00:00:00 2019 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","61:8A:4F:66:F2:AB:56:AF:46:4B:0C:36:97:F6:F1:C9:1F:88:F8:B4"
"Sbc-st-a.vtb.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Dec 10 00:00:00 2014 GMT","Dec 10 00:00:00 2034 GMT","CA:TRUE critical","80:94:64:0E:B5:A7:A1:CA:11:9C:1F:DD:D5:9F:81:02:63:A7:FB:D1"
"Sbc-st-b.vtb.ru","CN=Sbc-proxy.vtb.ru; O=VTB Bank (PJSC); L=Saint Petersburg; ST=Saint Petersburg; C=RU","CN=Sbc-proxy.vtb.ru; O=VTB Bank (PJSC); L=Saint Petersburg; ST=Saint Petersburg; C=RU","Mar  3 08:41:14 2022 GMT","Apr  4 08:41:13 2023 GMT","CA:FALSE","4A:D0:B1:D6:13:B8:DE:1B:2D:DA:85:CD:D7:96:E8:C4:91:CF:A9:2C"
"Sbc-st-b.vtb.ru","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","Apr 21 00:00:00 2021 GMT","Apr 21 00:00:00 2031 GMT","CA:TRUE, pathlen:0 critical","18:FA:8E:3C:CD:E2:6E:0C:3F:04:AD:DA:95:F2:68:93:32:62:37:54"
"Sbc-st-b.vtb.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Feb 20 00:00:00 2019 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","61:8A:4F:66:F2:AB:56:AF:46:4B:0C:36:97:F6:F1:C9:1F:88:F8:B4"
"Sbc-st-b.vtb.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Dec 10 00:00:00 2014 GMT","Dec 10 00:00:00 2034 GMT","CA:TRUE critical","80:94:64:0E:B5:A7:A1:CA:11:9C:1F:DD:D5:9F:81:02:63:A7:FB:D1"
"mb.vtb.ru","CN=*.mb.vtb.ru; O=VTB Bank (PJSC); L=Санкт-Петербург; C=RU","CN=*.mb.vtb.ru; O=VTB Bank (PJSC); L=Санкт-Петербург; C=RU","Jun 22 00:00:00 2021 GMT","Jun 27 23:59:59 2022 GMT","CA:FALSE critical","14:CE:57:C2:90:ED:96:1D:C2:17:40:29:A3:95:26:40:21:0C:97:B1"
"mb.vtb.ru","CN=Thawte RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","CN=Thawte RSA CA 2018; OU=www.digicert.com; O=DigiCert Inc; C=US","Nov  6 12:23:52 2017 GMT","Nov  6 12:23:52 2027 GMT","CA:TRUE, pathlen:0 critical","4D:EE:A7:06:0D:80:BA:BF:16:43:B4:E0:F0:10:4C:82:99:50:75:B7"
"vtb24.ru","CN=www.vtb24.ru; O=VTB Bank (PJSC); L=Saint Petersburg; ST=Saint Petersburg; C=RU","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","Dec  6 19:41:09 2021 GMT","Jan  7 19:41:08 2023 GMT","CA:FALSE","94:6C:F0:7C:00:91:1C:27:65:84:7D:0F:9F:73:40:71:0B:79:30:CD"
"vtb24.ru","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Apr 21 00:00:00 2021 GMT","Apr 21 00:00:00 2031 GMT","CA:TRUE, pathlen:0 critical","18:FA:8E:3C:CD:E2:6E:0C:3F:04:AD:DA:95:F2:68:93:32:62:37:54"
"vtbbo.ru","CN=vtbbo.ru; O=VTB Bank (PJSC); L=Saint Petersburg; ST=Saint Petersburg; C=RU","CN=vtbbo.ru; O=VTB Bank (PJSC); L=Saint Petersburg; ST=Saint Petersburg; C=RU","Mar  1 15:56:15 2022 GMT","Apr  2 15:56:14 2023 GMT","CA:FALSE","95:62:4B:B4:1F:4E:14:EB:1F:D7:97:A3:E6:14:5C:1B:BE:00:52:F6"
"vtbbo.ru","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","Apr 21 00:00:00 2021 GMT","Apr 21 00:00:00 2031 GMT","CA:TRUE, pathlen:0 critical","18:FA:8E:3C:CD:E2:6E:0C:3F:04:AD:DA:95:F2:68:93:32:62:37:54"
"vtbbo.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Feb 20 00:00:00 2019 GMT","Mar 18 10:00:00 2029 GMT","CA:TRUE critical","61:8A:4F:66:F2:AB:56:AF:46:4B:0C:36:97:F6:F1:C9:1F:88:F8:B4"
"vtbbo.ru","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","CN=GlobalSign; O=GlobalSign; OU=GlobalSign Root CA - R6","Dec 10 00:00:00 2014 GMT","Dec 10 00:00:00 2034 GMT","CA:TRUE critical","80:94:64:0E:B5:A7:A1:CA:11:9C:1F:DD:D5:9F:81:02:63:A7:FB:D1"
"transport.vtb.ru","CN=*.transport.vtb.ru; O=VTB Bank (PJSC); L=Saint Petersburg; ST=Saint Petersburg; C=RU","CN=VTB BANK GCC R6 OV CA 2021; O=VTB BANK (PJSC); C=RU","Mar  1 11:41:07 2022 GMT","Apr  2 11:41:06 2023 GMT","CA:FALSE","66:CC:6E:7D:4A:31:02:F0:BE:B1:DE:5D:C9:9E:76:CC:6B:ED:3D:89"
