host: biz.smpbank.ru; ip: ; error: Network; errormsg:                      Error encountered while reading
host: cetelem-bank.ru; ip: ; error: DNS; errormsg: nodename nor servname provided, or not known
host: cetelem-bank.ru; ip: ; error: DNS; errormsg: nodename nor servname provided, or not known
host: www.cs.gazprombank.ru; ip: ; error: DNS; errormsg: nodename nor servname provided, or not known
host: expressway-e.smpbank.ru; ip: ; port: 443; error: Timeout
host: gupti.ru; ip: ; error: DNS; errormsg: nodename nor servname provided, or not known
host: www.ibank.mosoblbank.ru; ip: ; port: 443; error: Timeout
host: mpi.smpbank.ru; ip: ; port: 443; error: Timeout
host: www.mydss.gazprombank.ru; ip: ; error: DNS; errormsg: nodename nor servname provided, or not known
host: payanyway.ru; ip: ; port: 443; error: Timeout
host: moneta.ru; ip: ; port: 443; error: Timeout
host: t72.ru; ip: ; port: 443; error: Timeout

<|---------Scan Summary---------|>
 [13682] ciphers             :  (0)
 [13682] host-count          : 504
 [13682] network-error       : 26
 [13682] dns-errcount        : 86
 [13682] remote-close-error  : 0
 [13682] unknown-error       : 0
 [13682] timeout-error       : 43
 [13682] connect-error       : 155
 [13682] tls-handshake       : 349
 [13682] gross-tls-handshake : 349
 [13682] elapsed-time        : 479.61735 secs
<|------------------------------|>
